Name,avg,min,max
Bart Beatty,120,92,158
Sunny Gerlach,145,94,174
Verla Abshire,119,91,154
Vincenza Jacobi,129,99,155
Karlee Schaden,143,124,168
Jazmyne Hoppe,129,91,160
Olaf Flatley,130,91,173
Dion Hintz,122,96,164
Ashlee Ondricka,133,94,178
Braeden Damore,141,100,177
Audreanne Kuhic,121,94,170
Macie Predovic,112,85,153
Karen Adams,129,104,160
Serena Kutch,124,91,158
Meagan Schuppe,122,100,161
Meggie Goldner,138,99,168
Timothy Rowe,134,92,175
Anibal Stark,123,84,173
Gavin Herzog,118,82,154
Neil Langosh,114,99,160
Bette Hudson,139,102,174
Rickie Legros,135,91,171
Pamela Lind,128,96,168
Faye Pagac,115,84,154
Monroe Johnson,123,99,156
Molly Schulist,127,89,163
Archibald Kunze,142,109,171
Montana Sauer,124,98,165
Jeff Kemmer,121,102,153
Savion Price,126,97,166
Benedict Becker,139,105,179
Yadira Medhurst,133,102,163
Kelley Cruickshank,125,88,162
Trevor Streich,131,93,170
Anabel Abernathy,134,100,163
Leif Mante,136,106,171
Savanna Cruickshank,144,109,174
Mellie Krajcik,123,90,146
Catharine Feeney,134,102,168
Madge Pouros,126,92,160
Mariah Lehner,126,87,174
Thelma Hammes,119,84,165
Maybell Stoltenberg,129,88,158
Myrtice Grady,139,97,177
Morgan Rohan,132,101,160
Gilberto Dare,122,105,146
Kaley Schmeler,121,96,158
Simone Hickle,121,98,138
Roslyn Runte,121,98,157
Mikel Kautzer,144,113,167
Barney Parisian,132,90,161
Carol Orn,136,113,175
Jasen Kirlin,136,102,160
Raphaelle Huels,127,95,168
Cordell Sipes,127,100,165
Ramona Hessel,126,91,164
Xavier Sauer,142,100,163
Bradford Rempel,135,106,164
Emmett Emard,118,94,165
Delta Klein,123,90,160
Scotty Grant,122,94,161
Rylan Walker,134,93,156
Meghan Crona,131,95,160
Arianna Kohler,140,103,163
Gerald Medhurst,122,90,162
Virgie Ankunding,114,96,149
Miguel Reynolds,119,86,149
Brenden Schumm,116,80,169
Marilou Kreiger,135,105,171
Marty Donnelly,113,90,136
Furman Huel,123,91,174
Kendra Trantow,138,101,166
Adalberto Klein,116,83,158
Allison Wiza,137,91,172
Melany Fay,125,87,173
Brent Mraz,146,103,180
Meta Doyle,132,101,160
Cody Stanton,140,89,178
Gabriel Torp,138,96,171
Erick Shields,135,97,158
Bartholome Kreiger,135,104,158
Ted Altenwerth,138,101,161
Laisha Beier,134,107,156
Hadley Price,133,100,171
Athena Jacobson,116,92,143
Nona Reichert,120,91,156
Erin Fisher,138,97,160
Merle Bechtelar,133,105,169
Omer Herman,125,95,161
Kaitlyn Russel,124,87,157
Elwin Zieme,148,100,171
Dena Hilpert,132,113,164
Sincere Bradtke,129,104,160
Donnell Gutkowski,134,88,175
Lauriane Sawayn,113,86,147
Forrest McCullough,129,96,175
Randy Krajcik,121,81,170
Cloyd Smith,137,101,177
Nikki Brakus,115,92,150
Graciela Quigley,134,92,160
Candice Sawayn,117,88,147
Braulio Littel,121,96,155
Lina Weimann,129,98,151
Isai McGlynn,121,104,154
Josiane Kunze,138,97,170
Micah DuBuque,120,99,139
Louvenia Rolfson,134,91,176
Noble Champlin,136,97,172
Danyka Lockman,143,100,171
Abdullah Hills,148,95,177
Sigurd Koss,147,109,168
Roscoe Rosenbaum,129,90,158
Alisa Reichel,128,98,154
Helga Hayes,128,86,169
Kimberly Botsford,124,103,166
Emerson Bashirian,113,85,155
Minnie Dietrich,123,93,164
Kaley Kerluke,128,87,155
Kallie Moore,132,88,158
Lamar Goldner,132,98,161
Kaylee Reichert,124,92,173
Weldon Goyette,122,87,159
Rhianna Mayer,133,112,161
Taryn Marvin,120,89,167
Lou Greenfelder,137,100,176
Adalberto Russel,119,95,144
Jennie Hegmann,111,86,152
Petra Schoen,131,95,165
