Name,avg,min,max
Isai McGlynn,107,0,154
Faye Pagac,101,0,154
Timothy Rowe,121,0,175
Issac Pagac,99,0,144
Lina Weimann,115,0,151
Danyka Lockman,128,0,171
Anibal Stark,114,0,173
Roscoe Rosenbaum,114,0,158
Kimberly Botsford,112,0,166
Alisa Reichel,117,0,154
Helga Hayes,112,0,169
Kallie Moore,116,0,148
Kaley Kerluke,117,0,155
Rhianna Mayer,117,0,161
Lamar Goldner,118,0,161
Kaylee Reichert,115,0,173
Weldon Goyette,113,0,159
Lou Greenfelder,124,0,176
Makenna Smith,116,0,173
Obie Block,106,0,156
Elenora Bruen,107,0,157
Verda Gutkowski,132,0,179
Kirk Volkman,106,0,161
Seamus Herman,103,0,152
Kailey McClure,109,0,155
Flavio Sipes,117,0,163
Nellie Wyman,111,0,147
Elinore Wisoky,123,0,164
Dedrick Walker,114,0,169
Stephania Ernser,125,0,173
Presley Conn,126,0,177
Zakary McClure,114,0,169
Allene Rosenbaum,118,0,168
Keenan Lang,105,0,160
Felicita Sporer,103,0,151
Luigi Orn,118,0,170
Aletha Roberts,115,0,159
Layla Gulgowski,133,0,170
Kylee Runte,111,0,176
Genoveva Runte,112,0,144
Johnny Quitzon,121,0,154
Enoch Hirthe,124,0,167
Mathew Kertzmann,124,0,167
Casandra Williamson,108,0,149
Gavin Herzog,108,0,154
Neil Langosh,102,0,160
Bette Hudson,125,0,174
Rickie Legros,119,0,171
Pamela Lind,117,0,168
Kareem Erdman,112,0,160
Virgie Jast,106,0,153
Keven Mosciski,114,0,171
Forrest Durgan,111,0,164
Yesenia Kub,124,0,170
Leta Reichel,119,0,171
Jarred Satterfield,125,0,158
Alvah Jones,109,0,143
Retha Krajcik,119,0,163
Presley Towne,118,0,160
Luis Kub,108,0,157
Eliane Dooley,113,0,154
Raymond Ryan,112,0,167
Onie Hayes,109,0,142
Liza Kuphal,119,0,177
Addison Wolff,107,0,153
Chelsea Doyle,117,0,163
Princess Auer,117,0,156
Bradley Eichmann,103,0,161
Cole Rogahn,121,0,158
Alexzander Moore,117,0,165
Lavern Medhurst,115,0,165
Cecile Schuppe,126,0,171
Westley Dietrich,122,0,167
Thomas Hilpert,123,0,164
Krystel Moen,124,0,173
Rafael Koelpin,122,0,178
Laverne Larson,123,0,163
Karl Howell,107,0,145
Elenora Boehm,108,0,152
Jarrod Wisoky,120,0,158
Nick Bednar,107,0,160
Robin Jakubowski,115,0,162
Eleanore Schaefer,110,0,173
Kaleigh Luettgen,111,0,159
Christy Ebert,116,0,177
Ashton Reinger,120,0,166
Broderick Green,116,0,159
Cora Conn,121,0,161
Kip Flatley,126,0,170
Samanta Lowe,113,0,163
Adonis Farrell,129,0,170
Adrian Jenkins,117,0,167
Taylor Kihn,114,0,174
Viola Boyer,113,0,158
Margot Parker,98,0,127
Jabari Lebsack,133,0,178
Ahmad Kling,108,0,151
Cruz McGlynn,117,0,174
Marcelo Hoeger,120,0,159
Jeffrey Terry,119,0,163
Noah Beier,108,0,157
Dorthy Mosciski,119,0,169
Georgette Heaney,105,0,151
Penelope Stehr,113,0,159
Triston Cormier,117,0,172
Frederic Hudson,117,0,160
Trey Cole,117,0,164
Makenna Carroll,117,0,162
Julien Langosh,124,0,156
Adolphus Krajcik,110,0,137
Reilly Ernser,127,0,170
Lloyd Eichmann,114,0,163
Blaise Lubowitz,124,0,172
Evert Bayer,117,0,156
Myah Schamberger,125,0,158
Brandon Kertzmann,101,0,157
Polly Bayer,113,0,153
Simone Will,125,0,167
Neha Reichel,110,0,179
Elza Green,116,0,154
Sophie Simonis,126,0,174
Johnathan Goldner,122,0,175
Trycia Jerde,113,0,163
Norberto Pacocha,134,0,169
Randy Lockman,115,0,167
Malcolm Quitzon,110,0,153
Alda Koss,111,0,162
Jessica Ferry,118,0,171
Aleen Corkery,106,0,156
Drew Rempel,116,0,161
Reed Koelpin,118,0,159
Maiya Aufderhar,121,0,161
Quincy Morar,130,0,177
Daniella Heller,132,0,159
Ellie Gerlach,123,0,173
Bria Toy,125,0,161
Stanton Maggio,105,0,134
Kelsi Treutel,111,0,163
Reynold Gleason,133,0,165
Maurice Williamson,117,0,162
Jazlyn Okuneva,96,0,133
Tevin Swaniawski,125,0,162
Hailey Harber,127,0,174
Stefanie Hauck,117,0,172
Cristobal Witting,117,0,159
Marley Marvin,118,0,156
Reece Boyle,122,0,167
Mattie Gerlach,122,0,172
Loy Abbott,109,0,159
Ana Dickens,111,0,159
Elmore Shanahan,117,0,162
Meggie Thiel,121,0,170
Ambrose Wyman,114,0,155
Kelley Cruickshank,113,0,162
Monroe Johnson,110,0,156
Molly Schulist,110,0,155
Archibald Kunze,127,0,171
Montana Sauer,113,0,165
Jeff Kemmer,111,0,153
Savion Price,116,0,166
Tamara Osinski,116,0,157
Abdullah Kihn,121,0,167
Sigmund Blanda,115,0,159
Victoria Schmitt,113,0,153
Lyda Carroll,128,0,166
Marcos Kuhic,123,0,174
Grace Schmeler,123,0,170
Abner Tremblay,111,0,159
Meggie Goldner,121,0,168
Lexie Stanton,122,0,172
Bart Beatty,107,0,158
General Mraz,111,0,158
Sunny Gerlach,128,0,174
Ewell Dickens,109,0,149
Verla Abshire,109,0,154
Myrl Wilderman,102,0,163
Jermey Murray,118,0,166
Maryam McCullough,117,0,155
Rahsaan Quigley,122,0,161
Merl Jaskolski,119,0,151
Sigmund Glover,110,0,154
Leif Hagenes,120,0,166
Ned Windler,113,0,158
Shea Nolan,110,0,163
Ottilie Wilderman,117,0,154
Maxie Luettgen,130,0,174
Braeden McGlynn,105,0,144
Sherwood Flatley,117,0,161
Kellie Prohaska,123,0,176
Ayana Bashirian,123,0,159
Ricardo Nitzsche,117,0,175
Alyce Koepp,117,0,158
Arthur Kozey,117,0,174
Danny Mann,114,0,160
Toney McDermott,117,0,149
Tania Skiles,112,0,163
Reece Pollich,114,0,171
Roderick Willms,116,0,145
Jalen Terry,122,0,166
Kianna Gaylord,112,0,165
Brendan Brakus,105,0,162
Ivy Mueller,135,0,180
Jake Boehm,117,0,165
Aurelie Sauer,127,0,172
Randal Purdy,103,0,139
Armand Zulauf,130,0,173
Santos Ondricka,109,0,147
Vincenza Jacobi,119,0,155
Boris Christiansen,110,0,166
Karlee Schaden,129,0,168
Lauryn Blanda,132,0,177
Jazmyne Hoppe,115,0,160
Olaf Flatley,115,0,173
Dion Hintz,109,0,164
Benedict Becker,127,0,179
Lindsey Kuhn,130,0,176
Ashlee Ondricka,121,0,178
Yadira Medhurst,119,0,163
Braeden Damore,126,0,177
Haylee Steuber,142,0,179
Karen Adams,116,0,160
Serena Kutch,108,0,158
Estell Waelchi,112,0,163
Audreanne Kuhic,108,0,170
Meagan Schuppe,109,0,161
Adeline Hansen,115,0,152
Macie Predovic,103,0,153
Catharine Feeney,123,0,168
Donato Cassin,129,0,169
Thelma Hammes,107,0,165
Trevor Streich,115,0,170
Zoie Zemlak,138,0,174
Madge Pouros,110,0,157
Anabel Abernathy,121,0,163
Zechariah Schumm,121,0,177
Mariah Lehner,114,0,174
Rosamond Pouros,122,0,160
Myrtice Grady,130,0,177
Raymond Mayert,116,0,155
Leif Mante,125,0,171
Jeffrey Batz,104,0,150
Savanna Cruickshank,130,0,174
Marshall Turcotte,136,0,177
Mellie Krajcik,111,0,146
Lucie Shields,114,0,167
Morgan Rohan,116,0,159
Margarete Nitzsche,107,0,150
Roslyn Runte,106,0,157
Maybell Stoltenberg,113,0,154
Wilfredo Schamberger,123,0,160
Kaley Schmeler,111,0,158
Felix Pagac,123,0,162
Barney Parisian,116,0,160
Mikel Kautzer,129,0,167
Vince Monahan,120,0,155
Gilberto Dare,111,0,146
Raphaelle Huels,115,0,168
Earline Lang,113,0,171
Ozella Haley,123,0,162
Elliot Nienow,123,0,170
Simone Hickle,108,0,138
Carol Orn,121,0,175
Jasmin Feeney,109,0,161
Jasen Kirlin,126,0,160
Alan Gleason,124,0,175
Cordell Sipes,115,0,165
Arnulfo Lockman,116,0,158
Xavier Sauer,128,0,163
Antonio Rice,114,0,180
Emmett Emard,106,0,165
Scotty Grant,113,0,161
